CODE;price;old price;ostatok
10433;14510;;25
10434;18830;;0
10438;15080;;0
10440;29330;;3
10443;23950;;0
10450;16670;;0
10558;12290;;0
10659;15750;;0
10663;15750;;0
15771;20661;;5
15780;26860;;0
15781;24999;;0
15846;13850;;5
15967;8781;;17
16286;16733;;0
18884;34606;;6
18885;66184;;6
18886;36782;;5
18911;49494;;5
18916;21457;;4
18918;51356;;2
18919;42373;;2
18929;60967;;2
18938;48000;;0
19470;44195;;6
19471;37229;;9
19513;29622;;10
20013;56836;;15
20069;49788;;0
20070;44810;68944.00;16
20073;56526;;7
20077;20985;;0
20078;28918;;0
20328;39170;;0
20332;49350;;0
20354;35626;;0
21275;68557;;0
21385;94683;;1
21424;67491;;1
21426;45233;;1
21427;189365;;3
21430;55201;;0
21449;55201;;1
21457;59747;;2
21461;49349;;0
21492;141419;;2
21530;60707;;2
21533;57475;;2
21534;70256;;0
21535;49349;;3
21536;70256;;2
21537;49349;;1
21547;173288;;1
21548;96492;;0
21549;61140;;3
21550;180217;;1
21551;115961;;0
21583;55426;;0
21916;49062;;1
21975;63925;;2
21976;63925;;0
21994;55744;;1
22748;19990;;0
23044;37940;;12
23126;6660;;0
23813;37999;;0
23815;29000;;0
23816;29000;;0
23817;97006;;6
23818;37999;;0
23819;29000;;0
23820;29000;;0
23823;59202;;0
23826;97750;;0
23829;29000;;0
23835;80487;;8
23837;19000;;0
23838;179397;;0
23840;29000;;0
23850;59777;;0
23853;37999;;0
23870;96525;;0
23871;104810;;0
23872;45000;;0
23876;459488;;1
23877;962773;;0
23884;42900;;0
23889;29000;;0
25861;16999;;21
26196;13599;;13
26197;20999;;12
26204;14990;;25
26225;49990;;1
26229;19999;;2
26230;19999;;5
26231;29999;;4
26268;12599;;63
26294;5554;;0
26295;7776;;0
26337;10999;;122
26338;10999;;121
26339;10999;;50
26340;13999;;88
26341;13999;;83
26342;13999;;44
26343;15599;;60
26344;16999;;48
26345;18599;;48
26351;14599;;22
